question,topic,intent,difficulty,answer
Explain status codes,API Design,status codes,Intermediate,"HTTP response codes. 2xx (success), 3xx (redirect), 4xx (client error), 5xx (server error). 200 OK, 404 Not Found, 500 Internal Server Error."
I want to learn about file system,Operating Systems,file system,Intermediate,"Organizes and stores files. Hierarchical structure. Operations: create, read, write, delete. Examples: NTFS, ext4, FAT32."
Explain object to me,Python Basics,object,Beginner,An instance of a class. Created by calling the class like a function: obj = MyClass(). Has its own data and behavior.
Help me understand DOM,Web Development,DOM,Intermediate,Document Object Model is programming interface for HTML. Tree structure representing page. JavaScript manipulates DOM to change content dynamically.
I want to learn about test case,Software Testing,test case,Intermediate,"Specific scenario to test. Includes inputs, execution conditions, expected results. Should be clear, repeatable."
Why is RESTful API important?,API Design,RESTful API,Intermediate,"API following REST principles. Resources identified by URLs. CRUD operations via HTTP methods: GET, POST, PUT, DELETE."
Explain online learning,Machine Learning,online learning,Advanced,"Model updates incrementally as new data arrives. Doesn't retrain on entire dataset. Used for streaming data. Algorithms: SGD, Perceptron."
I want to learn about gradient,Mathematics for AI,gradient,Beginner,Vector of partial derivatives. Points in direction of steepest increase. Negative gradient used in optimization.
optical flow definition,Computer Vision,optical flow,Intermediate,"Estimating motion of objects between frames. Used in video analysis, tracking, autonomous driving. Methods: Lucas-Kanade, Farneback."
Help me understand splay tree,Data Structures,splay tree,Advanced,Self-adjusting BST that moves accessed elements closer to root. Recently accessed elements are fast to access again.
Explain boolean operations,Python Basics,boolean operations,Beginner,"Boolean operators: and, or, not. Used in conditional statements. Short-circuit evaluation: and stops at first False, or stops at first True."
Help me understand reinforcement learning,Machine Learning,reinforcement learning,Beginner,"Learning by interacting with environment. Agent takes actions and receives rewards. Goal: maximize cumulative reward. Used in games, robotics."
Can you explain what trie is?,Data Structures,trie,Intermediate,Tree structure for storing strings. Each path from root to leaf represents a word. Efficient for prefix searches.
Tell me about online learning,Machine Learning,online learning,Advanced,"Model updates incrementally as new data arrives. Doesn't retrain on entire dataset. Used for streaming data. Algorithms: SGD, Perceptron."
Explain cross-validation,Machine Learning,cross-validation,Beginner,"Splitting data into k folds, training on k-1 and testing on remaining fold, repeated k times. More reliable than single split."
transfer learning definition,Machine Learning,transfer learning,Advanced,Using pre-trained model as starting point for new task. Fine-tune on target dataset. Effective with limited data. Common in computer vision and NLP.
Help me understand scheduling,Operating Systems,scheduling,Intermediate,"Deciding which process runs on CPU. Algorithms: FCFS (First Come First Serve), SJF (Shortest Job First), Round Robin, Priority."
How can I use code splitting?,Performance Optimization,code splitting,Advanced,"Breaking code into smaller bundles. Load only what's needed. Improves initial load time. Common in React, webpack."
image classification definition,Computer Vision,image classification,Intermediate,"Assigning label to entire image. CNNs are standard approach. Applications: medical diagnosis, quality control, content moderation."
Explain database indexing,Performance Optimization,database indexing,Advanced,"Data structure improving query speed. Trade-off: faster reads, slower writes. B-tree indexes common. Index frequently queried columns."
load balancing definition,Performance Optimization,load balancing,Advanced,"Distributing traffic across servers. Improves availability and performance. Algorithms: round-robin, least connections. Hardware or software-based."
How would you explain XSS?,Cybersecurity,XSS,Intermediate,"Cross-Site Scripting injects malicious scripts in web pages. Steals cookies, session tokens. Prevention: input validation, output encoding."
I want to learn about overfitting,Machine Learning,overfitting,Beginner,"When model learns training data too well, including noise. Poor generalization to new data. High training accuracy, low test accuracy."
Help me understand asyncio,Python Programming,asyncio,Advanced,Python's framework for asynchronous programming using async/await syntax. Enables concurrent execution of I/O-bound tasks.
Explain ResNet,Computer Vision,ResNet,Intermediate,"Residual Network uses skip connections. Enables training very deep networks. Won ImageNet 2015. Variants: ResNet-50, ResNet-101."
exception handling definition,Python Basics,exception handling,Beginner,Using try-except blocks to catch and handle errors gracefully. Prevents program crashes and allows for error recovery.
Explain how containerization works,DevOps,containerization,Intermediate,Packaging applications with dependencies. Consistent environments. Lightweight isolation. Docker is standard. Kubernetes orchestrates.
Bootstrap definition,Web Development,Bootstrap,Intermediate,"CSS framework for responsive design. Pre-built components: grid system, buttons, forms. Speeds up development. Widely used."
What is monkey patching?,Python Programming,monkey patching,Advanced,Dynamically modifying a class or module at runtime. Powerful but can make code hard to maintain and debug.
Please tell me about JavaScript,Web Development,JavaScript,Intermediate,"Programming language that adds interactivity to web pages. Runs in browser. Manipulates DOM, handles events, makes API calls. Core of modern web."
technical debt definition,Software Engineering,technical debt,Intermediate,Cost of quick solutions that make future changes harder. Accumulates over time. Should be managed and paid down regularly.
